Record Type,Account Number,Account Name,Date,Credit Amount,Debit Amount,Code,Description,Reference,Memo
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,63634.39,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,14768.51,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/30/2025,6285,,142,DDA ACH Deposit,8817,BCBS OF MASS HCCLAIMPMT TRN*1*XXXXX7643*1041045815\
Detail,41927018,Atlantic Care Clearing Account,7/30/2025,5320,,142,DDA ACH Deposit,80750,HUMANA INC US LE HCCLAIMPMT TRN*1*2629673*1592598550\
Detail,41927018,Atlantic Care Clearing Account,7/30/2025,125.51,,142,DDA ACH Deposit,29392,Sunshine State H HCCLAIMPMT TRN*1*0914418366*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/30/2025,,14768.51,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/30/2025,51903.88,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,3972,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,28263,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,3038,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,25225,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,26070.92,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/29/2025,1779.92,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/29/2025,570.92,,142,DDA ACH Deposit,13316,HMP HCCLAIMPMT TRN*1*164002694250726*16111038
Detail,41927018,Atlantic Care Clearing Account,7/29/2025,25500,,175,Business Remote Deposit Capture,6216446,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/29/2025,,1779.92,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,934,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,3972,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,934,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,3038,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,5026,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/28/2025,1988,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/28/2025,1713,,142,DDA ACH Deposit,164541,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024512856110
Detail,41927018,Atlantic Care Clearing Account,7/28/2025,3313,,175,Business Remote Deposit Capture,6110030,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/28/2025,,1988,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,2822.18,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,934,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,1193.17,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,934,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,19442.49,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/25/2025,21330.67,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/25/2025,18231.6,,142,DDA ACH Deposit,63400,BCBSF HCCLAIMPMT TRN*1*XXXXX8761*1592015694\
Detail,41927018,Atlantic Care Clearing Account,7/25/2025,1.89,,142,DDA ACH Deposit,171414,Sunshine State H HCCLAIMPMT TRN*1*0914383011*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/25/2025,1209,,175,Business Remote Deposit Capture,6108913,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/25/2025,,21330.67,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,265164.06,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,2822.18,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,262326.05,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,1193.17,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,1629.01,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,5938.96,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/24/2025,268280.84,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/24/2025,4547.81,,142,DDA ACH Deposit,148838,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024491588454
Detail,41927018,Atlantic Care Clearing Account,7/24/2025,197.98,,142,DDA ACH Deposit,36085,HMP HCCLAIMPMT TRN*1*163702642250722*16111038
Detail,41927018,Atlantic Care Clearing Account,7/24/2025,,268280.84,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/24/2025,1193.17,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,3837,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,265164.06,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,262326.05,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,1209,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,1629.01,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,264230.06,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/23/2025,2903,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/23/2025,1904.01,,175,Business Remote Deposit Capture,6218955,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/23/2025,,2903,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/23/2025,262326.05,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,2628,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,3837,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,2628,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,1209,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,26902.88,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/22/2025,25693.88,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/22/2025,24010.1,,142,DDA ACH Deposit,117861,HNB - ECHO HCCLAIMPMT TRN*1*1199551349*1341858379\
Detail,41927018,Atlantic Care Clearing Account,7/22/2025,1408.78,,142,DDA ACH Deposit,152349,PAY PLUS HCCLAIMPMT TRN*1*XXXXX6457*1821866443\
Detail,41927018,Atlantic Care Clearing Account,7/22/2025,1484,,175,Business Remote Deposit Capture,6109719,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/22/2025,,25693.88,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,2628,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,2628,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,6631.03,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/21/2025,4003.03,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/21/2025,3728.03,,142,DDA ACH Deposit,169277,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/21/2025,2903,,175,Business Remote Deposit Capture,6109934,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/21/2025,,4003.03,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,118.6,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,118.6,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,54807.09,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/18/2025,54925.69,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/18/2025,43348,,142,DDA ACH Deposit,68846,BCBSF HCCLAIMPMT TRN*1*XXXXX2251*1592015694\
Detail,41927018,Atlantic Care Clearing Account,7/18/2025,9095,,142,DDA ACH Deposit,68854,FEPS2 HCCLAIMPMT TRN*1*XXXXX9595*1592015694\
Detail,41927018,Atlantic Care Clearing Account,7/18/2025,2045,,142,DDA ACH Deposit,218858,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024451696242
Detail,41927018,Atlantic Care Clearing Account,7/18/2025,319.09,,142,DDA ACH Deposit,70157,UnitedHealthcare HCCLAIMPMT TRN*1*25197B1000277493*1362739
Detail,41927018,Atlantic Care Clearing Account,7/18/2025,,54925.69,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,7149.82,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,118.6,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,118.6,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,6747.94,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/17/2025,13779.16,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,3791,,142,DDA ACH Deposit,419,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,1466.5,,142,DDA ACH Deposit,61011,AARP Supplementa HCCLAIMPMT TRN*1*11283715630*1362739571*0
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,1313.51,,142,DDA ACH Deposit,180646,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024442770158
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,58.33,,142,DDA ACH Deposit,137223,HNB - ECHO HCCLAIMPMT TRN*1*1198898527*1341858379\
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,,13779.16,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/17/2025,118.6,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,23276.82,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,7149.82,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,14339,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,7149.82,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,3073.62,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/16/2025,19200.62,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/16/2025,3010,,142,DDA ACH Deposit,187316,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/16/2025,32.61,,142,DDA ACH Deposit,189203,PAY PLUS HCCLAIMPMT TRN*1*XXXXX7267*1731128555\
Detail,41927018,Atlantic Care Clearing Account,7/16/2025,31.01,,142,DDA ACH Deposit,51003,Sunshine State H HCCLAIMPMT TRN*1*0914303505*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/16/2025,,19200.62,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,32985.41,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,23276.82,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,29595.41,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,14339,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,1788,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,7149.82,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,29725.78,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/15/2025,39434.37,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/15/2025,5725.44,,142,DDA ACH Deposit,186598,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/15/2025,2236.52,,142,DDA ACH Deposit,188071,PAY PLUS HCCLAIMPMT TRN*1*XXXXX1072*1731128555\
Detail,41927018,Atlantic Care Clearing Account,7/15/2025,7424.82,,175,Business Remote Deposit Capture,6218115,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/15/2025,,39434.37,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/15/2025,14339,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,1602,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,32985.41,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,29595.41,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,1602,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,1788,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,62075.2,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/14/2025,30691.79,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,10495.85,,142,DDA ACH Deposit,185338,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024419944054
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,7565.94,,142,DDA ACH Deposit,73163,HMP HCCLAIMPMT TRN*1*162947768250710*16111038
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,7224.6,,142,DDA ACH Deposit,165833,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,5075.12,,142,DDA ACH Deposit,185783,DEVOTED HEALTH P HCCLAIMPMT TRN*1*1546685*1823758085\
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,55.28,,142,DDA ACH Deposit,97488,Sunshine State H HCCLAIMPMT TRN*1*0914282756*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,2063,,175,Business Remote Deposit Capture,6110832,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,,30691.79,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/14/2025,29595.41,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,17164.19,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,1602,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,17164.19,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,1602,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,33268.93,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/11/2025,48831.12,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,10846.6,,142,DDA ACH Deposit,212362,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,10446.65,,142,DDA ACH Deposit,210688,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024379508574
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,7730.5,,142,DDA ACH Deposit,62372,BCBSF HCCLAIMPMT TRN*1*XXXXX5820*1592015694\
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,2343.03,,142,DDA ACH Deposit,418,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,25.15,,142,DDA ACH Deposit,121782,FLORIDA COMMUNI HCCLAIMPMT TRN*1*01-00000001697334*182097
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,1877,,175,Business Remote Deposit Capture,6219043,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/11/2025,,48831.12,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,12444.95,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,17164.19,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,811.25,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,17164.19,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,23311.4,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/10/2025,18592.16,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/10/2025,3992.21,,142,DDA ACH Deposit,36332,HUMANA INS CO HCCLAIMPMT TRN*1*162821102250708*13912634
Detail,41927018,Atlantic Care Clearing Account,7/10/2025,2155,,142,DDA ACH Deposit,393,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
Detail,41927018,Atlantic Care Clearing Account,7/10/2025,,18592.16,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/10/2025,17164.19,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,31272.22,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,12444.95,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,19638.52,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,811.25,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,11633.7,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,161677.99,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/9/2025,180505.26,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,92472.6,,142,DDA ACH Deposit,51132,Sunshine State H HCCLAIMPMT TRN*1*0914236050*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,56487.51,,142,DDA ACH Deposit,83135,FLORIDA COMMUNI HCCLAIMPMT TRN*1*01-00000001695879*182097
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,3428.89,,142,DDA ACH Deposit,186359,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,3253.12,,142,DDA ACH Deposit,184585,PAY PLUS HCCLAIMPMT TRN*1*XXXXX8423*1361933760\
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,2569.43,,142,DDA ACH Deposit,183509,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024336926286
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,2495.19,,142,DDA ACH Deposit,81080,AARP Supplementa HCCLAIMPMT TRN*1*11279595931*1362739571*0
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,160,,142,DDA ACH Deposit,303,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
